ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Casework
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Electrical Equipment
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Furniture
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Generic Models
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Mechanical Equipment
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Plumbing Fixtures
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Specialty Equipment
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Casework
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Electrical Equipment
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Furniture
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Generic Models
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Mechanical Equipment
